Id,GrLivArea,TotRmsAbvGrd,LotArea,GarageArea,SalePrice,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,2ndFlrSF,Neighborhood,RoofMatl,KitchenAbvGr,LotFrontage,1stFlrSF,MasVnrArea,WoodDeckSF,OpenPorchSF,PoolArea
160,2462,9,19378,576,320000,7,2005,2006,1392,1070,Gilbert,CompShg,1,134.0,1392,456.0,239,132,0
162,2668,10,13688,726,412500,9,2003,2004,1572,1096,NridgHt,CompShg,1,110.0,1572,664.0,400,0,0
168,2161,8,10562,789,325624,8,2007,2007,1582,551,NridgHt,CompShg,1,86.0,1610,300.0,178,120,0
175,1651,7,12416,616,184000,6,1986,1986,1606,0,Timber,CompShg,1,47.0,1651,132.0,192,0,0
183,1340,7,9060,252,120000,5,1957,2006,0,0,Edwards,CompShg,1,60.0,1340,98.0,116,0,0
189,1224,6,7018,528,153337,5,1979,1979,1086,0,SawyerW,CompShg,2,64.0,1224,275.0,120,0,0
197,1726,8,9416,786,311872,7,2007,2007,1726,0,Somerst,CompShg,1,79.0,1726,205.0,171,138,0
217,1436,8,8450,484,210000,7,2004,2004,1436,0,CollgCr,CompShg,1,65.0,1436,266.0,139,98,0
220,1248,5,3010,438,167240,7,2005,2006,1248,0,Blmngtn,CompShg,1,43.0,1248,16.0,108,0,0
225,2392,8,13472,968,386250,10,2003,2003,2392,0,NridgHt,CompShg,1,103.0,2392,922.0,248,105,0
227,2520,9,9950,721,290000,7,1995,1995,1203,1306,NoRidge,CompShg,1,82.0,1214,290.0,224,114,0
230,1555,7,3182,430,192500,7,2005,2006,1373,0,Blmngtn,CompShg,1,43.0,1555,16.0,143,20,0
237,1414,6,8773,494,185500,7,2004,2004,1414,0,CollgCr,CompShg,1,65.0,1414,98.0,132,105,0
239,1694,7,12030,818,318000,8,2007,2007,1694,0,NridgHt,CompShg,1,93.0,1694,254.0,168,228,0
241,1566,7,9000,750,262500,8,2008,2008,1566,0,Somerst,CompShg,1,75.0,1566,36.0,144,168,0
246,1872,6,10400,604,241500,7,1988,1988,1845,0,NWAmes,CompShg,1,80.0,1872,102.0,197,39,0
249,1668,8,11317,500,180000,7,2003,2003,840,828,CollgCr,CompShg,1,72.0,840,101.0,144,68,0
252,1625,5,4750,538,235000,8,2006,2007,1573,0,Crawfor,CompShg,1,44.0,1625,481.0,123,0,0
254,1302,7,9350,309,158000,6,1964,1991,1302,0,NAmes,CompShg,1,85.0,1302,108.0,333,0,0
256,2291,8,8738,429,230000,7,1999,1999,975,1286,Gilbert,CompShg,1,66.0,1005,302.0,192,0,0
258,1604,8,8814,660,220000,7,2006,2006,1604,0,CollgCr,CompShg,1,68.0,1604,180.0,123,110,0
263,1212,6,8471,492,151000,6,1977,1995,506,0,Sawyer,CompShg,1,88.0,1212,46.0,292,12,0
266,1422,7,12090,576,175500,6,1981,1981,1422,0,NWAmes,CompShg,1,78.0,1422,210.0,276,0,0
273,2270,9,11764,671,290000,8,1999,2007,1152,1106,NoRidge,CompShg,1,92.0,1164,348.0,132,57,0
274,1632,6,9600,338,139000,6,1958,1988,1240,0,NAmes,CompShg,1,80.0,1632,183.0,289,0,0
279,2121,8,14450,732,415298,9,2006,2007,2121,0,NridgHt,CompShg,1,107.0,2121,315.0,124,98,0
280,2022,8,10005,505,192000,7,1977,1977,1160,866,ClearCr,CompShg,1,83.0,1156,299.0,288,117,0
283,1314,6,5063,626,207500,7,2007,2008,1314,0,NridgHt,CompShg,1,34.0,1314,166.0,172,62,0
284,1468,6,9612,898,244600,8,2008,2009,1468,0,Somerst,CompShg,1,74.0,1468,72.0,210,150,0
295,1644,7,9600,418,167000,6,1953,1953,1416,0,NAmes,CompShg,1,80.0,1644,238.0,110,0,0
299,1743,7,11700,539,175000,6,1968,1968,702,702,NWAmes,CompShg,1,90.0,1041,365.0,224,0,0
303,1541,6,13704,843,205000,7,2001,2002,1541,0,CollgCr,CompShg,1,118.0,1541,150.0,468,81,0
306,2000,8,10386,888,305900,8,2004,2005,2000,0,CollgCr,CompShg,1,80.0,2000,246.0,168,0,0
307,2243,8,13474,746,225000,7,1990,1991,700,1121,SawyerW,CompShg,1,116.0,1122,246.0,127,44,0
317,2353,10,13005,484,260000,7,1980,1980,845,1200,NWAmes,CompShg,1,94.0,1153,278.0,288,195,0
319,2646,9,9900,656,260000,7,1993,1993,1347,1274,NoRidge,CompShg,1,90.0,1372,256.0,340,60,0
321,2596,9,16259,840,342643,9,2006,2006,1249,1347,NridgHt,CompShg,1,111.0,1249,370.0,240,154,0
322,2468,10,12099,872,354000,8,2004,2004,1136,1332,NridgHt,CompShg,1,99.0,1136,388.0,184,154,0
323,2730,8,10380,576,301000,7,1986,1987,1502,1177,SawyerW,CompShg,1,86.0,1553,172.0,201,96,0
325,2978,11,11275,564,242000,7,1967,2007,710,1080,NAmes,WdShake,1,96.0,1898,300.0,240,0,0
334,1358,6,8198,484,207000,7,2004,2004,1358,0,NridgHt,CompShg,1,59.0,1358,146.0,192,30,0
337,1922,8,14157,676,377426,9,2005,2006,1922,0,StoneBr,CompShg,1,86.0,1922,200.0,178,51,0
338,1536,7,9135,532,214000,7,2002,2003,1536,0,CollgCr,CompShg,1,70.0,1536,113.0,192,74,0
344,1684,6,8849,564,266000,9,2005,2005,1684,0,NridgHt,CompShg,1,63.0,1684,616.0,495,72,0
351,1869,6,7820,617,318061,9,2007,2007,1869,0,NridgHt,CompShg,1,68.0,1869,362.0,210,54,0
359,1352,6,6930,288,130000,5,1958,1958,1062,0,ClearCr,CompShg,1,92.0,1352,120.0,168,0,0
360,1924,7,12011,592,280000,8,1998,1998,1086,838,NoRidge,CompShg,1,78.0,1086,530.0,208,75,0
364,987,5,1680,264,118000,6,1972,2007,483,504,BrDale,CompShg,1,21.0,483,510.0,250,0,0
368,1431,6,9150,296,165000,6,1962,1962,1099,0,NAmes,Tar&Grv,1,101.0,1431,305.0,64,110,0
379,1856,8,11394,834,394432,9,2010,2010,1856,0,StoneBr,CompShg,1,88.0,1856,350.0,113,0,0
380,1800,7,8123,463,179000,6,2000,2000,982,793,Gilbert,CompShg,1,60.0,1007,16.0,100,63,0
386,1269,6,3182,430,192000,8,2004,2005,1256,0,Blmngtn,CompShg,1,43.0,1269,16.0,146,20,0
388,1125,6,7200,352,125000,6,1976,1976,1041,0,Edwards,CompShg,1,72.0,1125,255.0,296,0,0
389,1479,6,9382,577,191000,7,1999,2000,1468,0,CollgCr,CompShg,1,93.0,1479,125.0,120,25,0
390,2332,9,12474,846,426000,10,2007,2008,1682,590,NridgHt,CompShg,1,96.0,1742,272.0,196,134,0
404,2263,10,12090,420,258000,8,1998,1998,1141,1098,NoRidge,CompShg,1,93.0,1165,650.0,144,123,0
409,2172,9,14154,947,280000,7,2006,2006,1063,1101,NridgHt,CompShg,1,109.0,1071,350.0,192,62,0
429,1208,6,6762,628,195400,7,2007,2007,1208,0,CollgCr,CompShg,1,64.0,1208,108.0,105,54,0
433,1365,6,1920,440,122500,5,1971,1971,765,600,BrDale,CompShg,1,24.0,765,376.0,240,36,0
444,1258,6,3922,648,172500,7,2006,2007,1258,0,Blmngtn,CompShg,1,53.0,1258,72.0,144,16,0
468,1644,7,9480,312,146500,5,1942,1995,728,756,NAmes,CompShg,1,79.0,888,224.0,168,0,0
470,1710,7,9291,506,187000,6,1993,1993,832,878,SawyerW,CompShg,1,76.0,832,120.0,144,70,0
474,1976,7,14977,908,440000,8,2006,2007,1976,0,NridgHt,CompShg,1,110.0,1976,304.0,250,63,0
477,1493,7,13125,508,208900,6,1997,1998,1478,0,CollgCr,CompShg,1,75.0,1493,215.0,140,39,0
478,2643,9,13693,694,380000,9,2006,2006,2153,574,NridgHt,CompShg,1,105.0,2069,772.0,414,84,0
479,1718,7,10637,826,297000,8,2007,2008,1705,0,CollgCr,CompShg,1,79.0,1718,336.0,208,44,0
481,1850,8,16033,772,326000,9,2004,2005,1833,0,NridgHt,CompShg,1,98.0,1850,378.0,519,112,0
482,1792,6,11846,874,374000,9,2003,2004,1792,0,NridgHt,CompShg,1,72.0,1792,562.0,206,49,0
499,899,5,7800,288,130000,5,1967,2004,864,0,Sawyer,CompShg,1,65.0,899,89.0,64,0,0
501,1218,7,1890,264,113000,6,1973,1973,672,546,BrDale,CompShg,1,21.0,672,285.0,144,28,0
507,1911,8,9554,471,215000,8,1993,1994,777,846,SawyerW,CompShg,1,80.0,1065,125.0,182,81,0
510,1041,6,9600,270,124500,5,1959,1959,1041,0,NAmes,CompShg,1,80.0,1041,132.0,224,88,0
511,1363,6,14559,288,164900,5,1951,2000,1008,0,NAmes,CompShg,1,75.0,1363,70.0,324,42,0
512,1368,6,6792,474,202665,7,2005,2006,1368,0,NridgHt,CompShg,1,40.0,1368,94.0,132,35,0
516,2020,9,12220,900,402861,10,2009,2009,2006,0,NridgHt,CompShg,1,94.0,2020,305.0,156,54,0
518,2344,7,10208,889,265000,7,1996,1997,1264,1067,NoRidge,CompShg,1,79.0,1277,921.0,220,0,0
525,2398,8,11787,834,315750,7,1996,1997,1379,1015,NoRidge,CompShg,1,95.0,1383,594.0,239,60,0
528,2713,11,14948,858,446261,9,2008,2008,1452,1237,NridgHt,CompShg,1,67.0,1476,268.0,126,66,0
531,1509,5,10200,600,175000,6,1988,1989,1461,0,Timber,CompShg,1,85.0,1509,219.0,224,0,0
541,1838,8,14601,765,315000,9,2006,2006,1838,0,Timber,CompShg,1,85.0,1838,584.0,270,68,0
544,767,4,4058,367,133000,7,1998,1998,723,0,NAmes,CompShg,1,34.0,767,182.0,120,40,0
553,1717,7,11146,908,255500,8,2006,2006,1709,0,NridgHt,CompShg,1,87.0,1717,250.0,169,39,0
555,2046,8,10625,871,284000,7,2003,2004,998,1040,NridgHt,CompShg,1,85.0,1006,292.0,320,62,0
567,2504,11,11198,656,325000,9,2005,2007,1122,1370,StoneBr,CompShg,1,77.0,1134,245.0,144,39,0
572,864,4,7332,288,120000,6,1959,1959,864,0,NAmes,CompShg,1,60.0,864,207.0,168,0,0
575,1109,5,10500,288,139000,5,1971,2005,372,533,NAmes,CompShg,1,70.0,576,82.0,35,0,0
578,1320,6,11777,564,164500,5,1966,1966,1164,0,Sawyer,CompShg,1,96.0,1320,97.0,160,68,0
586,2028,7,11443,880,369900,8,2005,2006,1868,0,Timber,CompShg,1,88.0,2028,208.0,326,66,0
592,2296,10,13478,842,451950,10,2008,2008,1722,568,NridgHt,CompShg,1,97.0,1728,420.0,382,274,0
596,1826,7,11302,758,319000,8,2005,2006,1814,0,StoneBr,CompShg,1,69.0,1826,238.0,180,75,0
598,1402,7,3922,648,194201,7,2006,2007,1258,0,Blmngtn,CompShg,1,53.0,1402,72.0,120,16,0
601,1904,8,10927,736,275000,8,2005,2005,1058,846,NridgHt,CompShg,1,74.0,1058,280.0,179,60,0
605,1494,6,12803,530,221000,7,2002,2002,1494,0,CollgCr,CompShg,1,88.0,1494,99.0,192,36,0
610,1029,5,7943,261,118500,4,1961,1961,1029,0,Sawyer,CompShg,1,61.0,1029,192.0,64,0,0
616,1054,6,8800,480,137500,6,1963,1963,936,0,NAmes,CompShg,1,80.0,1054,156.0,120,0,0
620,2262,10,12244,749,305000,8,2003,2003,1482,780,Timber,CompShg,1,85.0,1482,226.0,168,0,0
623,980,6,7064,484,135000,5,1977,1977,980,0,Sawyer,CompShg,1,71.0,980,153.0,192,0,0
625,1790,8,10400,484,165150,6,1972,1972,732,778,NWAmes,CompShg,1,80.0,1012,288.0,148,0,0
629,2080,9,11606,504,135000,5,1969,1969,1040,1040,NAmes,CompShg,1,70.0,1040,192.0,335,0,0
630,1350,6,9020,520,168500,6,1964,1964,1248,0,NAmes,WdShngl,1,82.0,1350,259.0,176,0,0
632,1554,6,4590,627,209500,8,2006,2006,1554,0,NridgHt,CompShg,1,34.0,1554,108.0,156,73,0
633,1411,6,11900,544,82500,7,1977,1977,1386,0,NWAmes,CompShg,1,85.0,1411,209.0,192,0,0
641,1518,6,12677,588,274000,8,2003,2004,1518,0,NridgHt,CompShg,1,62.0,1518,472.0,185,140,0
644,1620,7,10793,462,152000,5,1969,1969,780,840,NWAmes,CompShg,1,80.0,780,263.0,208,0,0
645,1766,7,9187,478,370878,9,2009,2009,1766,0,Somerst,CompShg,1,85.0,1766,162.0,195,130,0
655,2113,7,10437,839,350000,8,1995,1995,2109,0,NoRidge,CompShg,1,91.0,2113,660.0,236,46,0
666,1936,7,11194,504,230500,8,2000,2000,1406,482,Gilbert,CompShg,1,106.0,1454,40.0,188,124,0
668,1679,7,8125,575,193500,6,1994,1998,1408,0,SawyerW,CompShg,1,65.0,1679,258.0,224,42,0
679,2046,7,11844,834,372500,8,2008,2008,2046,0,StoneBr,CompShg,1,80.0,2046,464.0,322,82,0
684,1668,7,11248,702,285000,9,2002,2002,1626,0,CollgCr,CompShg,1,90.0,1668,215.0,257,45,0
690,1362,6,7577,460,194700,6,2005,2006,1362,0,NridgHt,CompShg,1,61.0,1362,256.0,192,28,0
693,2519,9,26178,628,335000,7,1989,1990,1210,1281,Timber,CompShg,1,42.0,1238,293.0,320,27,0
696,1137,5,13811,551,176000,6,1987,1987,1112,0,Timber,CompShg,1,54.0,1137,72.0,125,0,0
701,1800,7,14331,765,312500,8,2002,2002,1800,0,Timber,CompShg,1,85.0,1800,630.0,270,78,0
703,2576,10,12438,666,361919,8,2006,2006,1234,1312,StoneBr,CompShg,1,82.0,1264,466.0,324,100,0
708,1324,6,6240,550,254000,8,2006,2006,1324,0,NridgHt,CompShg,1,48.0,1324,176.0,192,38,0
719,2418,9,10542,983,341000,7,1993,1994,1311,1093,NoRidge,CompShg,1,96.0,1325,651.0,250,154,0
725,1698,8,13286,768,320000,9,2007,2008,1698,0,Edwards,CompShg,1,86.0,1698,340.0,327,64,0
728,1232,6,7314,632,194500,7,2007,2007,1232,0,CollgCr,CompShg,1,64.0,1232,82.0,132,0,0
732,1146,6,9590,438,187500,7,2003,2003,868,0,Timber,CompShg,1,73.0,1146,442.0,160,22,0
733,2031,8,11404,541,222500,7,1998,1999,1153,878,CollgCr,CompShg,1,75.0,1153,202.0,192,84,0
743,1349,6,8450,539,179000,7,2000,2001,1349,0,SawyerW,CompShg,1,65.0,1349,108.0,120,55,0
749,1720,7,10593,527,260400,7,1996,1996,1720,0,NoRidge,CompShg,1,59.0,1720,338.0,240,56,0
754,2098,8,10240,878,275500,8,2005,2005,1030,1060,NridgHt,CompShg,1,80.0,1038,178.0,192,52,0
760,2531,9,12257,752,290000,8,1995,1995,1318,1203,NoRidge,CompShg,1,65.0,1328,513.0,222,98,0
767,1714,7,10421,496,196500,7,1988,1988,980,734,NWAmes,CompShg,1,80.0,980,42.0,228,66,0
775,1973,9,14226,895,395000,8,2006,2006,1935,0,NridgHt,CompShg,1,110.0,1973,375.0,315,45,0
777,1614,7,11210,865,221500,7,2005,2006,1614,0,CollgCr,CompShg,1,86.0,1614,240.0,144,59,0
781,1253,6,7875,402,176000,7,1995,1996,1237,0,Gilbert,CompShg,1,63.0,1253,38.0,220,21,0
791,1145,5,3182,397,160200,7,2005,2006,1145,0,Blmngtn,CompShg,1,43.0,1145,11.0,100,16,0
794,1496,7,9158,474,225000,8,2007,2007,1496,0,Somerst,CompShg,1,76.0,1496,140.0,168,130,0
797,1285,7,8197,528,143500,6,1977,1977,660,0,Sawyer,CompShg,1,71.0,1285,148.0,138,0,0
804,2822,12,13891,1020,582933,9,2008,2009,1734,1088,NridgHt,CompShg,1,107.0,1734,424.0,52,170,0
811,1309,5,10140,484,181000,6,1974,1999,1040,0,NWAmes,CompShg,1,78.0,1309,99.0,265,0,648
820,1358,6,6371,484,224000,7,2009,2010,1358,0,NridgHt,CompShg,1,44.0,1358,128.0,192,35,0
826,2084,7,14803,1220,385000,10,2007,2008,2078,0,NridgHt,CompShg,1,114.0,2084,816.0,188,45,0
833,1829,7,9548,613,237000,7,2003,2003,941,888,CollgCr,CompShg,1,44.0,941,223.0,192,39,0
847,1775,7,9317,425,213000,7,1993,1993,740,769,SawyerW,CompShg,1,75.0,1006,137.0,234,72,0
850,1855,7,9600,512,187000,6,1976,1994,528,761,Veenker,CompShg,1,80.0,1094,360.0,113,100,0
851,848,3,4435,420,131500,6,2003,2003,848,0,CollgCr,CompShg,1,36.0,848,170.0,140,0,0
867,1646,6,10656,870,248900,8,2006,2007,1638,0,Timber,CompShg,1,67.0,1646,274.0,192,80,0
870,1949,8,9938,574,236000,7,1993,1994,1050,887,SawyerW,CompShg,1,80.0,1062,246.0,156,90,0
878,2224,10,8834,738,350000,9,2004,2005,1462,762,NridgHt,CompShg,1,74.0,1462,216.0,184,0,0
882,1717,7,13758,400,187500,7,1990,1991,1156,530,Timber,CompShg,1,44.0,1187,117.0,168,36,0
886,1709,5,5119,506,328900,9,1999,2000,1698,0,Somerst,CompShg,1,50.0,1709,60.0,97,65,0
887,1712,8,8393,588,145000,5,1959,2005,1626,0,NAmes,CompShg,2,70.0,1712,122.0,272,54,0
892,1683,7,11184,440,172500,6,1978,1978,918,765,Sawyer,CompShg,1,70.0,918,92.0,243,0,0
904,1670,7,14859,690,240000,7,2006,2006,1670,0,Gilbert,CompShg,1,50.0,1670,27.0,144,60,0
921,1721,7,8462,471,201000,6,1994,1994,928,785,SawyerW,CompShg,1,70.0,936,105.0,300,87,0
925,1686,7,10240,612,207500,6,1980,1980,1686,0,NWAmes,CompShg,1,79.0,1686,157.0,384,131,0
927,2374,10,11999,656,285000,8,2003,2004,1181,1140,NridgHt,CompShg,1,93.0,1234,340.0,104,100,0
934,1500,6,8487,570,190000,7,2004,2004,1500,0,CollgCr,CompShg,1,63.0,1500,210.0,192,36,0
947,1144,6,8163,796,143000,5,1959,1959,1144,0,NAmes,CompShg,1,70.0,1144,128.0,86,0,0
949,1776,7,14006,474,192500,7,2002,2002,936,840,CollgCr,CompShg,1,65.0,936,144.0,144,96,0
982,2612,8,12203,676,336000,8,1998,1999,1225,1336,NoRidge,CompShg,1,98.0,1276,975.0,250,0,0
983,1266,6,3182,388,159895,7,2007,2007,1266,0,Blmngtn,CompShg,1,43.0,1266,16.0,100,16,0
988,1940,8,10159,606,395192,9,2009,2010,1930,0,NridgHt,CompShg,1,83.0,1940,450.0,168,95,0
993,1851,7,9760,440,187000,6,1964,1993,822,831,NAmes,CompShg,1,80.0,1020,340.0,239,42,0
995,1718,7,12456,786,337500,10,2006,2007,1700,0,NridgHt,CompShg,1,96.0,1718,230.0,216,48,0
1000,1208,6,6762,632,206000,7,2006,2006,1187,0,CollgCr,CompShg,1,64.0,1208,24.0,105,61,0
1003,1574,7,11957,824,232000,8,2006,2006,1574,0,Somerst,CompShg,1,75.0,1574,53.0,144,104,0
1005,1504,7,3182,457,181000,7,2005,2006,1346,0,Blmngtn,CompShg,1,43.0,1504,16.0,156,0,0
1006,985,6,8385,328,149900,5,1977,1977,985,0,CollgCr,CompShg,1,65.0,985,220.0,210,0,0
1009,1710,7,12118,550,240000,7,2004,2005,1710,0,Mitchel,CompShg,1,43.0,1710,108.0,100,48,0
1017,1504,6,11883,478,203000,7,1996,1996,1504,0,CollgCr,CompShg,1,73.0,1504,196.0,115,66,0
1020,1506,6,3013,440,213490,7,2005,2005,1362,0,Blmngtn,CompShg,1,43.0,1506,145.0,142,20,0
1022,1220,6,7406,632,194000,7,2006,2006,1199,0,CollgCr,CompShg,1,64.0,1220,84.0,105,54,0
1024,1504,7,3182,437,191000,7,2005,2006,1346,0,Blmngtn,CompShg,1,43.0,1504,14.0,156,20,0
1028,1646,7,9520,800,293077,8,2007,2008,1638,0,Timber,CompShg,1,71.0,1646,338.0,192,44,0
1037,1620,6,12898,912,315500,9,2007,2008,1620,0,Timber,CompShg,1,89.0,1620,70.0,228,0,0
1043,1306,5,5381,624,196000,6,2005,2005,1306,0,NridgHt,CompShg,1,34.0,1306,135.0,170,63,0
1044,2329,10,11839,514,262280,7,1990,1990,1475,797,SawyerW,CompShg,1,86.0,1532,99.0,192,121,0
1047,2868,11,16056,716,556581,9,2005,2006,1992,876,StoneBr,CompShg,1,85.0,1992,208.0,214,108,0
1054,1526,7,8562,364,144500,5,1957,2002,1216,0,Edwards,CompShg,1,68.0,1526,145.0,116,78,0
1055,1989,7,11367,586,255000,8,2002,2002,1065,898,CollgCr,CompShg,1,90.0,1091,210.0,199,60,0
1057,1364,6,7052,484,185850,7,2005,2005,1364,0,NridgHt,CompShg,1,43.0,1364,240.0,192,36,0
1068,1611,7,9760,442,167900,6,1964,1964,780,813,NAmes,CompShg,1,80.0,798,360.0,328,128,0
1074,1426,6,7950,440,159500,6,1977,1977,690,728,Edwards,CompShg,1,75.0,698,140.0,252,0,0
1079,848,3,4435,420,155900,6,2004,2004,848,0,CollgCr,CompShg,1,37.0,848,169.0,140,0,0
1081,1258,5,11040,528,145000,6,1971,2004,1258,0,NWAmes,CompShg,1,80.0,1258,144.0,55,0,0
1083,1459,6,8749,527,192000,7,2002,2002,1459,0,CollgCr,CompShg,1,70.0,1459,100.0,192,39,0
1106,2622,9,12256,712,325000,8,1994,1995,1463,1122,NoRidge,CompShg,1,98.0,1500,362.0,186,32,0
1110,1836,7,11362,862,280000,8,2004,2005,1836,0,NridgHt,CompShg,1,107.0,1836,42.0,125,185,0
1122,1552,7,10084,782,212900,7,2005,2006,1552,0,CollgCr,CompShg,1,84.0,1552,196.0,144,20,0
1127,1555,7,3684,660,174000,7,2007,2007,1373,0,Blmngtn,CompShg,1,53.0,1555,130.0,143,20,0
1130,936,4,7200,672,140000,5,1980,1980,936,0,OldTown,CompShg,1,60.0,936,180.0,49,0,0
1143,2828,11,9965,1052,424870,8,2006,2007,1466,1362,CollgCr,CompShg,1,77.0,1466,340.0,125,144,0
1158,1314,6,5001,626,230000,7,2007,2008,1314,0,NridgHt,CompShg,1,34.0,1314,166.0,172,62,0
1167,1694,7,10475,776,245350,8,2008,2008,1694,0,CollgCr,CompShg,1,64.0,1694,72.0,160,33,0
1182,1652,5,5587,482,392500,8,2008,2008,1600,0,Crawfor,CompShg,1,64.0,1652,186.0,162,53,0
1189,1660,7,8935,493,195000,7,2002,2002,831,829,CollgCr,CompShg,1,68.0,831,95.0,144,68,0
1192,1441,5,2645,492,174000,8,1999,2000,776,677,Somerst,CompShg,1,24.0,764,456.0,206,0,0
1195,1352,7,9364,299,158000,6,1969,1969,663,689,Sawyer,CompShg,1,80.0,663,143.0,379,36,0
1204,1630,6,9750,451,213000,7,2000,2001,1630,0,CollgCr,CompShg,1,75.0,1630,171.0,74,234,0
1206,2196,7,14684,701,271900,7,1990,1991,2158,0,SawyerW,CompShg,1,90.0,2196,234.0,84,70,0
1208,1700,7,9135,544,200000,6,2003,2003,1682,0,CollgCr,CompShg,1,70.0,1700,120.0,192,23,0
1210,1660,8,10182,500,290000,8,2006,2006,1660,0,Somerst,CompShg,1,85.0,1660,420.0,322,50,0
1218,1314,6,8640,552,229456,8,2009,2009,1300,0,Somerst,CompShg,1,72.0,1314,72.0,135,112,0
1226,1138,6,10482,264,145000,6,1958,1958,588,0,NAmes,CompShg,1,65.0,1138,63.0,224,0,0
1227,1933,9,14598,668,214000,6,2007,2007,894,1039,Somerst,CompShg,1,86.0,894,74.0,100,18,0
1240,1484,6,9037,472,265900,8,2006,2006,1476,0,Timber,CompShg,1,64.0,1484,32.0,120,33,0
1246,1868,7,12090,477,178000,6,1984,2003,585,728,NWAmes,CompShg,1,78.0,1140,74.0,268,112,0
1255,1656,7,6931,397,165400,7,2003,2004,746,896,Edwards,CompShg,1,60.0,760,92.0,178,128,0
1257,1987,7,14303,691,301500,8,1994,1994,1986,0,NoRidge,CompShg,1,91.0,1987,554.0,262,36,0
1259,1166,5,9587,400,190000,7,2005,2005,856,0,Gilbert,CompShg,1,59.0,1166,182.0,212,0,0
1290,1970,8,11065,753,281000,8,2006,2006,1085,850,NridgHt,CompShg,1,86.0,1120,788.0,177,74,0
1292,1302,6,1680,264,119500,5,1972,1972,630,672,BrDale,CompShg,1,21.0,630,268.0,185,0,0
1296,1052,5,8400,288,138500,5,1968,1968,1052,0,NAmes,CompShg,1,70.0,1052,168.0,356,0,0
1297,1128,6,8700,525,155000,5,1963,1963,1120,0,NAmes,CompShg,1,80.0,1128,148.0,192,20,0
